date, pm10, so2
2024/5/1, 18, 3
2024/5/2, 19, 3
2024/5/3, 18, 3
2024/5/4, 26, 3
2024/5/5, 22, 3
2024/5/6, 11, 2
2024/5/7, 9, 1
2024/5/8, 14, 1
2024/5/9, 16, 3
2024/5/10, 21, 2
2024/5/11, 20, 2
2024/5/12, 9, 2
2024/5/13, 17, 2
2024/5/14, 14, 2
2024/5/15, 24, 2
2024/5/16, 23, 2
2024/5/17, 26, 2
2024/5/18, 11, 2
2024/5/19, 9, 2
2024/5/20, 11, 2
2024/5/21, 17, 3
2024/5/22, 12, 
2024/4/1, 79, 2
2024/4/2, 5, 3
2024/4/3, 13, 2
2024/4/4, 10, 1
2024/4/5, 7, 2
2024/4/6, 13, 3
2024/4/7, 20, 2
2024/4/8, 16, 3
2024/4/9, 21, 1
2024/4/10, 19, 1
2024/4/11, 15, 2
2024/4/12, 26, 1
2024/4/13, 22, 2
2024/4/14, 17, 3
2024/4/15, 14, 3
2024/4/16, 8, 2
2024/4/17, 10, 3
2024/4/18, 15, 2
2024/4/19, 9, 2
2024/4/20, 6, 1
2024/4/21, 8, 1
2024/4/22, 11, 3
2024/4/23, 22, 3
2024/4/24, 22, 2
2024/4/25, 15, 4
2024/4/26, 15, 5
2024/4/27, 17, 9
2024/4/28, 20, 4
2024/4/29, 22, 3
2024/4/30, 24, 3
2024/1/7, 15, 5
2024/1/8, 37, 9
2024/1/9, 60, 22
2024/1/10, 112, 12
2024/1/11, 81, 4
2024/1/12, 19, 4
2024/1/13, 13, 4
2024/1/14, 9, 5
2024/1/15, 11, 7
2024/1/16, 17, 16
2024/1/17, 47, 7
2024/1/18, 22, 5
2024/1/19, 23, 3
2024/1/20, 17, 5
2024/1/21, 19, 3
2024/1/22, 12, 3
2024/1/23, 15, 3
2024/1/24, 9, 3
2024/1/25, 8, 2
2024/1/26, 12, 1
2024/1/27, 9, 5
2024/1/28, 25, 6
2024/1/29, 25, 1
2024/1/30, 13, 2
2024/1/31, 28, 3
2024/2/1, 22, 3
2024/2/2, 15, 3
2024/2/3, 9, 4
2024/2/4, 6, 4
2024/2/5, 8, 3
2024/2/6, 11, 5
2024/2/7, 7, 8
2024/2/8, 17, 7
2024/2/9, 24, 10
2024/2/10, 29, 9
2024/2/11, 22, 6
2024/2/12, 11, 6
2024/2/13, 24, 7
2024/2/14, 35, 6
2024/2/15, 22, 5
2024/2/16, 19, 3
2024/2/17, 11, 2
2024/2/18, 13, 6
2024/2/19, 16, 4
2024/2/20, 7, 3
2024/2/21, 10, 6
2024/2/22, 15, 6
2024/2/23, 12, 7
2024/2/24, 18, 8
2024/2/25, 22, 11
2024/2/26, 27, 9
2024/2/27, 38, 5
2024/2/28, 33, 5
2024/2/29, 24, 7
2024/3/1, 48, 8
2024/3/2, 41, 8
2024/3/3, 28, 6
2024/3/4, 30, 5
2024/3/5, 29, 3
2024/3/6, 27, 3
2024/3/7, 28, 68
2024/3/8, 36, 7
2024/3/9, 33, 7
2024/3/10, 21, 4
2024/3/11, 17, 3
2024/3/12, 17, 3
2024/3/13, 32, 7
2024/3/14, 38, 6
2024/3/15, 28, 3
2024/3/16, 13, 2
2024/3/17, 8, 2
2024/3/18, 8, 4
2024/3/19, 23, 7
2024/3/20, 48, 7
2024/3/21, 47, 2
2024/3/22, 16, 2
2024/3/23, 11, 3
2024/3/24, 7, 2
2024/3/25, 9, 4
2024/3/26, 19, 6
2024/3/27, 16, 4
2024/3/28, 22, 3
2024/3/29, 8, 5
2024/3/30, 63, 5
2024/3/31, 78, 3
2023/10/1, 13, 2
2023/10/2, 13, 3
2023/10/3, 13, 2
2023/10/4, 6, 2
2023/10/5, 10, 2
2023/10/6, 6, 3
2023/10/7, 7, 3
2023/10/8, 4, 3
2023/10/9, 11, 5
2023/10/10, 26, 4
2023/10/11, 17, 4
2023/10/12, 18, 5
2023/10/13, 15, 5
2023/10/14, 16, 5
2023/10/15, 6, 5
2023/10/16, 9, 6
2023/10/17, 25, 7
2023/10/18, 35, 9
2023/10/19, 35, 5
2023/10/20, 31, 4
2023/10/21, 33, 2
2023/10/22, 13, 1
2023/10/23, 18, 5
2023/10/24, 20, 3
2023/10/25, 19, 5
2023/10/26, 17, 5
2023/10/27, 21, 2
2023/10/28, 7, 3
2023/10/29, 8, 4
2023/10/30, 14, 3
2023/10/31, 10, 3
2023/11/1, 11, 7
2023/11/2, 11, 13
2023/11/3, 10, 5
2023/11/4, 17, 6
2023/11/5, 9, 3
2023/11/6, 8, 4
2023/11/7, 20, 3
2023/11/8, 13, 5
2023/11/9, 16, 5
2023/11/10, 17, 4
2023/11/11, 30, 3
2023/11/12, 12, 4
2023/11/13, 17, 2
2023/11/14, 8, 2
2023/11/15, 6, 3
2023/11/16, 17, 2
2023/11/17, 10, 
2023/11/18, 7, 4
2023/11/19, 15, 2
2023/11/20, 8, 3
2023/11/21, 8, 12
2023/11/22, 17, 2
2023/11/23, 11, 4
2023/11/24, 8, 4
2023/11/25, 10, 3
2023/11/26, 14, 7
2023/11/27, 26, 6
2023/11/28, 24, 6
2023/11/29, 28, 6
2023/11/30, 34, 11
2023/12/1, 68, 5
2023/12/2, 31, 5
2023/12/3, 20, 8
2023/12/4, 39, 15
2023/12/5, 48, 13
2023/12/6, 59, 6
2023/12/7, 59, 10
2023/12/8, 53, 5
2023/12/9, 19, 8
2023/12/10, 21, 3
2023/12/11, 10, 7
2023/12/12, 24, 9
2023/12/13, 33, 3
2023/12/14, 21, 2
2023/12/15, 25, 1
2023/12/16, 15, 1
2023/12/17, 18, 3
2023/12/18, 24, 3
2023/12/19, 15, 3
2023/12/20, 8, 3
2023/12/21, 2, 5
2023/12/22, 9, 5
2023/12/23, 8, 4
2023/12/24, 9, 3
2023/12/25, 4, 3
2023/12/26, 5, 5
2023/12/27, 22, 4
2023/12/28, 16, 4
2023/9/9, 25, 3
2023/9/10, 23, 3
2023/9/11, 27, 4
2023/9/12, 33, 4
2023/9/13, 30, 2
2023/9/14, 6, 2
2023/9/15, 10, 3
2023/9/16, 12, 6
2023/9/17, 10, 3
2023/9/18, 18, 3
2023/9/19, 12, 2
2023/9/20, 7, 8
2023/9/21, 13, 4
2023/9/22, 16, 2
2023/9/23, 6, 1
2023/9/24, 4, 1
2023/9/25, 10, 2
2023/9/26, 19, 2
2023/9/27, 27, 2
2023/9/28, 27, 2
2023/9/29, 28, 2
2023/9/30, 15, 2
2024/1/6, , 3
2023/9/8, , 3